chr	strand	BSJ_count	cell_line	tool	circ_id	circ_id_strand	start	end	circ_ID	design	primer_found	total_primer_pairs	passed	failed_spec	failed_SNP	failed_sec_str_temp	failed_sec_str_amp
chr17	+	1	SW480	PFv2	chr17:7470223-7472855	chr17:7470223-7472855/+	7470223	7472855	circ02515	0	0	0	0	0	0	0	0
chr9	+	1	SW480	PFv2	chr9:112262434-112297916	chr9:112262434-112297916/+	112262434	112297916	circ02516	0	0	0	0	0	0	0	0
chr10	-	2	SW480	PFv2	chr10:70170412-70218817	chr10:70170412-70218817/-	70170412	70218817	circ02517	1	1	8	8	0	0	0	0
chr3	+	1	NCI-H23	PFv2	chr3:37047518-37049017	chr3:37047518-37049017/+	37047518	37049017	circ02518	1	1	20	20	0	0	0	0
chr16	-	1	HLF	PFv2	chr16:89907326-89907382	chr16:89907326-89907382/-	89907326	89907382	circ02519	0	0	0	0	0	0	0	0
chr10	+	2	SW480	PFv2	chr10:114970367-114974385	chr10:114970367-114974385/+	114970367	114974385	circ02520	1	1	11	11	0	0	0	0
chr17	+	1	HLF	PFv2	chr17:68515393-68530001	chr17:68515393-68530001/+	68515393	68530001	circ02521	1	1	6	6	0	0	0	0
chr1	-	1	SW480	PFv2	chr1:31911695-31915987	chr1:31911695-31915987/-	31911695	31915987	circ02522	1	1	20	19	1	0	0	0
chr15	-	3	HLF	PFv2	chr15:59030803-59067083	chr15:59030803-59067083/-	59030803	59067083	circ02523	1	1	20	19	1	0	0	0
chr6	+	1	NCI-H23	PFv2	chr6:170317369-170358318	chr6:170317369-170358318/+	170317369	170358318	circ02524	1	1	20	12	8	0	0	0
chr16	+	1	HLF	PFv2	chr16:9065395-9065970	chr16:9065395-9065970/+	9065395	9065970	circ02525	1	1	4	3	1	0	0	0
chr12	+	1	SW480	PFv2	chr12:94375885-94403262	chr12:94375885-94403262/+	94375885	94403262	circ02526	1	1	20	20	0	0	0	0
chr10	-	1	SW480	PFv2	chr10:128047389-128056213	chr10:128047389-128056213/-	128047389	128056213	circ02527	1	1	1	1	0	0	0	0
chr9	-	1	HLF	PFv2	chr9:110169447-110169577	chr9:110169447-110169577/-	110169447	110169577	circ02528	1	1	3	3	0	0	0	0
chr7	+	2	HLF	PFv2	chr7:72317255-72317310	chr7:72317255-72317310/+	72317255	72317310	circ02529	0	0	0	0	0	0	0	0
chr2	+	3	HLF	PFv2	chr2:75915976-76024081	chr2:75915976-76024081/+	75915976	76024081	circ02530	1	0	2	0	2	0	0	0
chr3	+	1	HLF	PFv2	chr3:67495797-67520634	chr3:67495797-67520634/+	67495797	67520634	circ02531	1	1	16	16	0	0	0	0
chr11	-	1	HLF	PFv2	chr11:118482032-118482495	chr11:118482032-118482495/-	118482032	118482495	circ02532	1	1	1	1	0	0	0	0
chr3	+	1	SW480	PFv2	chr3:149895472-149921227	chr3:149895472-149921227/+	149895472	149921227	circ02533	1	1	20	20	0	0	0	0
chr15	-	1	SW480	PFv2	chr15:77284957-77365225	chr15:77284957-77365225/-	77284957	77365225	circ02534	1	1	20	20	0	0	0	0
chr3	-	2	SW480	PFv2	chr3:51541497-51627754	chr3:51541497-51627754/-	51541497	51627754	circ02535	1	1	20	20	0	0	0	0
chr19	-	1	HLF	PFv2	chr19:45522387-45522507	chr19:45522387-45522507/-	45522387	45522507	circ02536	0	0	0	0	0	0	0	0
chr5	-	3	HLF	PFv2	chr5:353729-376716	chr5:353729-376716/-	353729	376716	circ02537	1	1	3	1	2	0	0	0
chr11	+	3	NCI-H23	PFv2	chr11:62535944-62536567	chr11:62535944-62536567/+	62535944	62536567	circ02538	1	1	9	9	0	0	0	0
chr20	-	1	SW480	PFv2	chr20:21328558-21340852	chr20:21328558-21340852/-	21328558	21340852	circ02539	1	1	20	20	0	0	0	0
chr18	-	1	SW480	PFv2	chr18:21765771-21773728	chr18:21765771-21773728/-	21765771	21773728	circ02540	1	1	20	19	1	0	0	0
chr2	+	1	SW480	PFv2	chr2:239156651-239273491	chr2:239156651-239273491/+	239156651	239273491	circ02541	1	1	20	20	0	0	0	0
chr4	-	1	HLF	PFv2	chr4:176711498-176729746	chr4:176711498-176729746/-	176711498	176729746	circ02542	1	1	20	20	0	0	0	0
chr7	-	1	HLF	PFv2	chr7:90623435-90790652	chr7:90623435-90790652/-	90623435	90790652	circ02543	1	1	20	20	0	0	0	0
chr15	+	1	NCI-H23	PFv2	chr15:40629272-40638472	chr15:40629272-40638472/+	40629272	40638472	circ02544	1	1	5	5	0	0	0	0
chr14	+	1	NCI-H23	PFv2	chr14:100967638-100998111	chr14:100967638-100998111/+	100967638	100998111	circ02545	1	1	20	20	0	0	0	0
chr14	+	1	SW480	PFv2	chr14:95455376-95475835	chr14:95455376-95475835/+	95455376	95475835	circ02546	1	0	1	0	1	0	0	1
chr7	+	1	SW480	PFv2	chr7:157568901-157578140	chr7:157568901-157578140/+	157568901	157578140	circ00934	0	0	0	0	0	0	0	0
chr14	-	1	HLF	PFv2	chr14:39180774-39180921	chr14:39180774-39180921/-	39180774	39180921	circ02547	1	1	8	8	0	0	0	0
chr18	+	1	SW480	PFv2	chr18:23001585-23006432	chr18:23001585-23006432/+	23001585	23006432	circ02548	1	1	19	19	0	0	0	0
chr9	+	1	HLF	PFv2	chr9:21324075-21330913	chr9:21324075-21330913/+	21324075	21330913	circ02549	1	1	15	7	8	0	0	0
chr8	-	1	HLF	PFv2	chr8:145057132-145057186	chr8:145057132-145057186/-	145057132	145057186	circ02550	0	0	0	0	0	0	0	0
chr12	-	1	NCI-H23	PFv2	chr12:69424000-69486297	chr12:69424000-69486297/-	69424000	69486297	circ02551	1	1	20	20	0	0	0	0
chr17	+	1	HLF	PFv2	chr17:44464471-44474903	chr17:44464471-44474903/+	44464471	44474903	circ02552	1	1	20	20	0	0	0	0
chr7	-	2	SW480	PFv2	chr7:39987598-40047877	chr7:39987598-40047877/-	39987598	40047877	circ02553	1	1	20	17	3	0	0	0
chr11	+	1	SW480	PFv2	chr11:9429620-9442197	chr11:9429620-9442197/+	9429620	9442197	circ02554	1	1	7	7	0	0	0	0
chr8	+	1	NCI-H23	PFv2	chr8:127983903-128010444	chr8:127983903-128010444/+	127983903	128010444	circ02555	1	0	9	0	9	0	0	0
chr7	-	1	NCI-H23	PFv2	chr7:74858406-74858754	chr7:74858406-74858754/-	74858406	74858754	circ02556	1	0	7	0	7	0	0	0
chr11	-	1	NCI-H23	PFv2	chr11:70422939-70431280	chr11:70422939-70431280/-	70422939	70431280	circ02557	1	1	1	1	0	0	0	0
chr10	-	2	HLF	PFv2	chr10:108449969-108564654	chr10:108449969-108564654/-	108449969	108564654	circ02558	1	1	20	20	0	0	0	0
chr16	+	2	SW480	PFv2	chr16:2557702-2566453	chr16:2557702-2566453/+	2557702	2566453	circ02559	1	1	15	15	0	0	0	0
chr7	+	1	SW480	PFv2	chr7:92096688-92097357	chr7:92096688-92097357/+	92096688	92097357	circ02560	1	1	20	20	0	0	0	0
chr4	-	1	HLF	PFv2	chr4:98578825-98578896	chr4:98578825-98578896/-	98578825	98578896	circ02561	1	0	5	0	5	0	0	0
chr13	+	1	HLF	PFv2	chr13:39343853-39378526	chr13:39343853-39378526/+	39343853	39378526	circ02562	1	1	5	4	1	0	0	0
chr1	+	1	SW480	PFv2	chr1:219742151-219792055	chr1:219742151-219792055/+	219742151	219792055	circ02563	1	1	20	20	0	0	0	0
chr1	+	3	HLF	PFv2	chr1:225512870-225513010	chr1:225512870-225513010/+	225512870	225513010	circ02564	1	1	16	16	0	0	0	0
chr9	-	1	NCI-H23	PFv2	chr9:83679774-83683066	chr9:83679774-83683066/-	83679774	83683066	circ02565	1	1	20	20	0	0	0	0
chr1	-	1	SW480	PFv2	chr1:41700915-41918524	chr1:41700915-41918524/-	41700915	41918524	circ02566	1	1	1	1	0	0	0	0
chr19	-	4	SW480	PFv2	chr19:2335147-2335331	chr19:2335147-2335331/-	2335147	2335331	circ02567	1	1	3	3	0	0	0	0
chr5	-	1	NCI-H23	PFv2	chr5:180650442-180689295	chr5:180650442-180689295/-	180650442	180689295	circ02568	1	1	20	20	0	0	0	0
chr5	-	2	HLF	PFv2	chr5:139622972-139623106	chr5:139622972-139623106/-	139622972	139623106	circ02569	0	0	0	0	0	0	0	0
chr16	-	6	SW480	CIRCexplorer3	chr16:18841564-18850467	chr16:18841564-18850467/-	18841564	18850467	circ02570	1	1	20	20	0	0	0	0
chr6	-	15	SW480	CIRCexplorer3	chr6:629834-637861	chr6:629834-637861/-	629834	637861	circ02571	1	1	20	20	0	0	0	0
chr17	+	146	NCI-H23	CIRCexplorer3	chr17:77402058-77402703	chr17:77402058-77402703/+	77402058	77402703	circ02572	0	0	0	0	0	0	0	0
chr4	+	28	HLF	CIRCexplorer3	chr4:1348089-1355245	chr4:1348089-1355245/+	1348089	1355245	circ02573	1	1	20	20	0	0	0	0
chr9	-	54	HLF	CIRCexplorer3	chr9:112262434-112297916	chr9:112262434-112297916/-	112262434	112297916	circ02516	0	0	0	0	0	0	0	0
chr2	-	13	NCI-H23	CIRCexplorer3	chr2:121515664-121530325	chr2:121515664-121530325/-	121515664	121530325	circ02574	0	0	0	0	0	0	0	0
chr7	-	11	SW480	CIRCexplorer3	chr7:43965866-43973323	chr7:43965866-43973323/-	43965866	43973323	circ02575	0	0	0	0	0	0	0	0
chr3	+	8	SW480	CIRCexplorer3	chr3:155910691-155914570	chr3:155910691-155914570/+	155910691	155914570	circ02576	1	1	20	20	0	0	0	0
chr6	+	15	HLF	CIRCexplorer3	chr6:70475409-70502791	chr6:70475409-70502791/+	70475409	70502791	circ02577	1	1	20	20	0	0	0	0
chr1	+	13	NCI-H23	CIRCexplorer3	chr1:28473553-28480604	chr1:28473553-28480604/+	28473553	28480604	circ02578	1	1	20	20	0	0	0	0
chr8	+	7	HLF	CIRCexplorer3	chr8:39054480-39091346	chr8:39054480-39091346/+	39054480	39091346	circ02579	1	1	18	18	0	0	0	0
chr15	-	17	SW480	CIRCexplorer3	chr15:42950261-42966286	chr15:42950261-42966286/-	42950261	42966286	circ02242	1	1	14	11	3	0	0	0
chr11	+	9	HLF	CIRCexplorer3	chr11:108046269-108054955	chr11:108046269-108054955/+	108046269	108054955	circ02580	1	1	20	20	0	0	0	0
chr3	+	11	HLF	CIRCexplorer3	chr3:37273535-37302332	chr3:37273535-37302332/+	37273535	37302332	circ02581	1	1	20	6	14	0	0	0
chr6	-	13	HLF	CIRCexplorer3	chr6:111387764-111416472	chr6:111387764-111416472/-	111387764	111416472	circ02582	1	1	20	20	0	0	0	0
chr10	-	10	HLF	CIRCexplorer3	chr10:472438-486530	chr10:472438-486530/-	472438	486530	circ02583	1	1	4	3	1	0	0	0
chr8	+	6	HLF	CIRCexplorer3	chr8:25479912-25488689	chr8:25479912-25488689/+	25479912	25488689	circ02584	1	1	20	20	0	0	0	0
chr16	+	13	HLF	CIRCexplorer3	chr16:2557702-2566453	chr16:2557702-2566453/+	2557702	2566453	circ02559	1	1	15	15	0	0	0	0
chr12	-	21	HLF	CIRCexplorer3	chr12:48939654-48941188	chr12:48939654-48941188/-	48939654	48941188	circ02585	1	1	20	20	0	0	0	0
chr3	+	44	NCI-H23	CIRCexplorer3	chr3:11358417-11426926	chr3:11358417-11426926/+	11358417	11426926	circ02586	1	1	20	20	0	0	0	0
chr12	-	14	HLF	CIRCexplorer3	chr12:112075677-112078741	chr12:112075677-112078741/-	112075677	112078741	circ02245	1	1	12	12	0	0	0	0
chr9	-	6	NCI-H23	CIRCexplorer3	chr9:83679774-83683066	chr9:83679774-83683066/-	83679774	83683066	circ02565	1	1	20	20	0	0	0	0
chr2	-	7	HLF	CIRCexplorer3	chr2:61873001-61883548	chr2:61873001-61883548/-	61873001	61883548	circ02587	1	1	20	20	0	0	0	0
chr17	+	11	SW480	CIRCexplorer3	chr17:67945408-67964404	chr17:67945408-67964404/+	67945408	67964404	circ02588	1	1	20	20	0	0	0	0
chr9	-	40	SW480	CIRCexplorer3	chr9:135866455-135883078	chr9:135866455-135883078/-	135866455	135883078	circ02589	1	1	20	3	17	0	0	0
chr18	+	7	HLF	CIRCexplorer3	chr18:12999420-13059312	chr18:12999420-13059312/+	12999420	13059312	circ02590	1	1	19	19	0	0	0	0
chr2	+	11	NCI-H23	CIRCexplorer3	chr2:62000700-62000982	chr2:62000700-62000982/+	62000700	62000982	circ02591	1	1	20	20	0	0	0	0
chr7	+	12	HLF	CIRCexplorer3	chr7:135577795-135593192	chr7:135577795-135593192/+	135577795	135593192	circ02592	1	1	20	20	0	0	0	0
chr2	+	13	SW480	CIRCexplorer3	chr2:32377587-32416163	chr2:32377587-32416163/+	32377587	32416163	circ02593	1	1	20	20	0	0	0	0
chr5	-	8	HLF	CIRCexplorer3	chr5:160093100-160094065	chr5:160093100-160094065/-	160093100	160094065	circ00301	1	1	20	20	0	0	0	0
chr7	-	6	HLF	CIRCexplorer3	chr7:140054661-140058034	chr7:140054661-140058034/-	140054661	140058034	circ02594	1	1	20	20	0	0	0	0
chr4	+	10	SW480	CIRCexplorer3	chr4:184001324-184011423	chr4:184001324-184011423/+	184001324	184011423	circ02595	1	1	7	7	0	0	0	0
chr12	-	13	NCI-H23	CIRCexplorer3	chr12:124952397-124954211	chr12:124952397-124954211/-	124952397	124954211	circ02596	1	1	10	9	1	0	0	0
chr6	-	10	NCI-H23	CIRCexplorer3	chr6:18236451-18237516	chr6:18236451-18237516/-	18236451	18237516	circ02597	1	1	9	9	0	0	0	0
chr16	+	13	HLF	CIRCexplorer3	chr16:67628369-67629533	chr16:67628369-67629533/+	67628369	67629533	circ02598	1	1	20	20	0	0	0	0
chr1	+	14	SW480	CIRCexplorer3	chr1:155725381-155726019	chr1:155725381-155726019/+	155725381	155726019	circ02599	1	1	20	20	0	0	0	0
chr17	+	12	HLF	CIRCexplorer3	chr17:42538338-42541206	chr17:42538338-42541206/+	42538338	42541206	circ02600	1	1	20	20	0	0	0	0
chr16	-	10	NCI-H23	CIRCexplorer3	chr16:8858349-8859335	chr16:8858349-8859335/-	8858349	8859335	circ02601	0	0	0	0	0	0	0	0
chr19	+	8	SW480	CIRCexplorer3	chr19:49856974-49860336	chr19:49856974-49860336/+	49856974	49860336	circ02602	1	1	2	2	0	0	0	0
chr3	+	6	SW480	CIRCexplorer3	chr3:152414940-152432920	chr3:152414940-152432920/+	152414940	152432920	circ02603	1	1	6	6	0	0	0	0
chr22	-	6	HLF	CIRCexplorer3	chr22:29822334-29832342	chr22:29822334-29832342/-	29822334	29832342	circ02604	1	1	14	14	0	0	0	0
chr1	+	8	NCI-H23	CIRCexplorer3	chr1:32825312-32853166	chr1:32825312-32853166/+	32825312	32853166	circ02605	0	0	0	0	0	0	0	0
chr1	+	9	HLF	CIRCexplorer3	chr1:179302676-179337896	chr1:179302676-179337896/+	179302676	179337896	circ02606	1	1	20	20	0	0	0	0
chr6	-	24	NCI-H23	CIRCexplorer3	chr6:83018972-83044659	chr6:83018972-83044659/-	83018972	83044659	circ02607	1	1	20	20	0	0	0	0
chr11	+	6	HLF	CIRCexplorer3	chr11:121045673-121055308	chr11:121045673-121055308/+	121045673	121055308	circ02608	1	1	18	18	0	0	0	0
chr8	-	7	SW480	CIRCexplorer3	chr8:37473077-37476012	chr8:37473077-37476012/-	37473077	37476012	circ02609	1	1	16	16	0	0	0	0
chr20	-	8	SW480	CIRCexplorer3	chr20:63775677-63775962	chr20:63775677-63775962/-	63775677	63775962	circ02610	1	1	4	4	0	0	0	0
chr19	-	81	SW480	CIRCexplorer3	chr19:18537600-18538436	chr19:18537600-18538436/-	18537600	18538436	circ02611	1	1	3	3	0	0	0	0
chr6	+	8	SW480	CIRCexplorer3	chr6:149369908-149379518	chr6:149369908-149379518/+	149369908	149379518	circ02612	1	1	20	20	0	0	0	0
chr3	-	6	NCI-H23	CIRCexplorer3	chr3:27379248-27452498	chr3:27379248-27452498/-	27379248	27452498	circ00697	1	1	20	20	0	0	0	0
chr10	+	7	NCI-H23	CIRCexplorer3	chr10:103049706-103056964	chr10:103049706-103056964/+	103049706	103056964	circ02613	1	1	20	20	0	0	0	0
chr1	-	7	HLF	CIRCexplorer3	chr1:93642303-93674941	chr1:93642303-93674941/-	93642303	93674941	circ02614	0	0	0	0	0	0	0	0
chr7	-	115	HLF	CIRCexplorer3	chr7:129014978-129018157	chr7:129014978-129018157/-	129014978	129018157	circ02615	1	1	20	20	0	0	0	0
chr20	+	11	SW480	CIRCexplorer3	chr20:2986764-2988474	chr20:2986764-2988474/+	2986764	2988474	circ02616	1	0	18	0	18	0	0	0
chr2	-	7	HLF	CIRCexplorer3	chr2:238275742-238277955	chr2:238275742-238277955/-	238275742	238277955	circ02617	0	0	0	0	0	0	0	0
chr3	+	9	NCI-H23	CIRCexplorer3	chr3:30671637-30674246	chr3:30671637-30674246/+	30671637	30674246	circ02618	1	1	20	20	0	0	0	0
chr19	+	20	SW480	CIRCexplorer3	chr19:40736985-40737769	chr19:40736985-40737769/+	40736985	40737769	circ02619	1	1	16	16	0	0	0	0
chr5	-	6	NCI-H23	CIRCexplorer3	chr5:39002534-39021136	chr5:39002534-39021136/-	39002534	39021136	circ02620	1	1	20	20	0	0	0	0
chr7	+	7	SW480	CIRCexplorer3	chr7:117099761-117138532	chr7:117099761-117138532/+	117099761	117138532	circ02621	1	1	6	5	1	0	0	0
chr5	+	9	HLF	CIRCexplorer3	chr5:73078179-73082825	chr5:73078179-73082825/+	73078179	73082825	circ02622	1	1	2	2	0	0	0	0
chr13	+	10	SW480	CIRCexplorer3	chr13:49451552-49467960	chr13:49451552-49467960/+	49451552	49467960	circ02623	1	1	20	20	0	0	0	0
chr2	-	18	SW480	CIRCexplorer3	chr2:63433744-63439871	chr2:63433744-63439871/-	63433744	63439871	circ02624	1	1	20	17	3	0	0	0
chr6	+	10	HLF	CIRCexplorer3	chr6:75647730-75678927	chr6:75647730-75678927/+	75647730	75678927	circ02625	1	1	14	14	0	0	0	0
chr1	-	6	NCI-H23	CIRCexplorer3	chr1:180397515-180430262	chr1:180397515-180430262/-	180397515	180430262	circ02626	0	0	0	0	0	0	0	0
chr14	+	6	NCI-H23	CIRCexplorer3	chr14:61720381-61727655	chr14:61720381-61727655/+	61720381	61727655	circ02627	1	1	20	20	0	0	0	0
chr5	+	16	NCI-H23	CIRCexplorer3	chr5:36953617-36962274	chr5:36953617-36962274/+	36953617	36962274	circ02628	1	1	20	20	0	0	0	0
chr17	+	11	HLF	CIRCexplorer3	chr17:59764970-59773885	chr17:59764970-59773885/+	59764970	59773885	circ02629	1	1	20	20	0	0	0	0
chr8	+	15	SW480	CIRCexplorer3	chr8:106706381-106713985	chr8:106706381-106713985/+	106706381	106713985	circ02630	1	1	20	19	1	0	0	0
chr14	+	10	NCI-H23	CIRCexplorer3	chr14:60808324-60879835	chr14:60808324-60879835/+	60808324	60879835	circ02631	1	1	20	20	0	0	0	0
chr9	+	10	SW480	CIRCexplorer3	chr9:137728348-137744090	chr9:137728348-137744090/+	137728348	137744090	circ02632	1	1	9	8	1	0	0	0
chr1	-	6	SW480	CIRCexplorer3	chr1:112917177-112918044	chr1:112917177-112918044/-	112917177	112918044	circ02633	1	1	20	20	0	0	0	0
chr2	+	8	HLF	CIRCexplorer3	chr2:108839184-108856970	chr2:108839184-108856970/+	108839184	108856970	circ02634	1	1	20	16	4	0	0	0
chr14	+	19	SW480	CIRCexplorer3	chr14:96846094-96860735	chr14:96846094-96860735/+	96846094	96860735	circ02635	1	1	9	9	0	0	0	0
chr7	-	30	SW480	CIRCexplorer3	chr7:1486624-1489682	chr7:1486624-1489682/-	1486624	1489682	circ02636	1	1	8	8	0	0	0	0
chrX	-	7	NCI-H23	CIRCexplorer3	chrX:72462003-72464731	chrX:72462003-72464731/-	72462003	72464731	circ02637	1	1	20	16	4	0	0	0
chr1	+	13	HLF	CIRCexplorer3	chr1:171523220-171532961	chr1:171523220-171532961/+	171523220	171532961	circ02638	1	1	20	20	0	0	0	0
chr3	+	8	NCI-H23	CIRCexplorer3	chr3:32733422-32737490	chr3:32733422-32737490/+	32733422	32737490	circ02639	1	1	9	9	0	0	0	0
chr3	-	6	SW480	CIRCexplorer3	chr3:129880308-129880562	chr3:129880308-129880562/-	129880308	129880562	circ02640	1	1	20	20	0	0	0	0
chr18	-	26	SW480	CIRCexplorer3	chr18:36026899-36033837	chr18:36026899-36033837/-	36026899	36033837	circ02641	1	1	20	20	0	0	0	0
chr15	-	8	SW480	CIRCexplorer3	chr15:72007825-72027793	chr15:72007825-72027793/-	72007825	72027793	circ02642	1	1	20	16	4	0	0	0
chr19	+	13	SW480	CIRCexplorer3	chr19:45277922-45280734	chr19:45277922-45280734/+	45277922	45280734	circ02643	1	1	9	9	0	0	0	0
chr9	+	31	SW480	CIRCexplorer3	chr9:107300140-107325004	chr9:107300140-107325004/+	107300140	107325004	circ02467	1	1	20	20	0	0	0	0
chr13	-	35	HLF	CIRCexplorer3	chr13:32517856-32527532	chr13:32517856-32527532/-	32517856	32527532	circ02644	1	1	20	20	0	0	0	0
chr18	-	60	HLF	CIRCexplorer3	chr18:36026899-36033837	chr18:36026899-36033837/-	36026899	36033837	circ02641	1	1	20	20	0	0	0	0
chr1	-	9	SW480	CIRCexplorer3	chr1:955922-957273	chr1:955922-957273/-	955922	957273	circ02645	1	1	4	4	0	0	0	0
chr21	+	11	NCI-H23	CIRCexplorer3	chr21:41226265-41257326	chr21:41226265-41257326/+	41226265	41257326	circ02646	1	1	10	10	0	0	0	0
chr11	+	17	SW480	CIRCexplorer3	chr11:45862059-45872233	chr11:45862059-45872233/+	45862059	45872233	circ02647	1	1	2	2	0	0	0	0
chr8	-	144	HLF	CIRCexplorer3	chr8:18765448-18804898	chr8:18765448-18804898/-	18765448	18804898	circ02648	1	1	12	12	0	0	0	0
chr19	-	8	HLF	CIRCexplorer3	chr19:10491576-10492262	chr19:10491576-10492262/-	10491576	10492262	circ02649	0	0	0	0	0	0	0	0
chr17	+	10	NCI-H23	CIRCexplorer3	chr17:12095574-12113360	chr17:12095574-12113360/+	12095574	12113360	circ02650	1	1	20	20	0	0	0	0
chr14	-	8	NCI-H23	CIRCexplorer3	chr14:34597549-34609742	chr14:34597549-34609742/-	34597549	34609742	circ02651	1	1	19	19	0	0	0	0
chr14	+	9	NCI-H23	CIRCexplorer3	chr14:73147794-73148094	chr14:73147794-73148094/+	73147794	73148094	circ02652	1	1	20	20	0	0	0	0
chr11	-	7	HLF	CIRCexplorer3	chr11:116757145-116758407	chr11:116757145-116758407/-	116757145	116758407	circ02653	1	1	20	20	0	0	0	0
chr1	+	288	HLF	CIRCexplorer3	chr1:117402185-117414831	chr1:117402185-117414831/+	117402185	117414831	circ02654	1	1	20	20	0	0	0	0
chr11	-	19	SW480	CIRCexplorer3	chr11:73707419-73720899	chr11:73707419-73720899/-	73707419	73720899	circ02655	1	1	11	5	6	0	0	0
chr6	-	7	SW480	CIRCexplorer3	chr6:149512154-149541586	chr6:149512154-149541586/-	149512154	149541586	circ02333	1	1	20	15	5	0	0	0
chr5	+	80	HLF	CIRCexplorer3	chr5:36953617-36976402	chr5:36953617-36976402/+	36953617	36976402	circ02656	1	1	20	20	0	0	0	0
chr3	+	11	SW480	CIRCexplorer3	chr3:196885150-196886694	chr3:196885150-196886694/+	196885150	196886694	circ02657	1	1	20	20	0	0	0	0
chr2	+	9	SW480	CIRCexplorer3	chr2:171925536-171953001	chr2:171925536-171953001/+	171925536	171953001	circ02658	1	1	20	20	0	0	0	0
chr2	-	8	SW480	CIRCexplorer3	chr2:224495831-224514772	chr2:224495831-224514772/-	224495831	224514772	circ01883	1	1	20	20	0	0	0	0
chr2	-	17	NCI-H23	CIRCexplorer3	chr2:171337452-171339554	chr2:171337452-171339554/-	171337452	171339554	circ02659	1	1	20	5	15	0	0	0
chr11	+	11	NCI-H23	CIRCexplorer3	chr11:108715878-108723462	chr11:108715878-108723462/+	108715878	108723462	circ02660	1	0	20	0	20	0	0	0
chr1	-	6	NCI-H23	CIRCexplorer3	chr1:150223185-150229237	chr1:150223185-150229237/-	150223185	150229237	circ02661	1	1	20	10	10	0	0	0
chr3	-	6	HLF	CIRCexplorer3	chr3:70987993-71053773	chr3:70987993-71053773/-	70987993	71053773	circ02662	1	1	7	7	0	0	0	0
chr1	-	11	HLF	CIRCexplorer3	chr1:245915529-245929937	chr1:245915529-245929937/-	245915529	245929937	circ02663	1	1	11	9	2	0	0	0
chr7	-	14	SW480	CIRCexplorer3	chr7:44840898-44843354	chr7:44840898-44843354/-	44840898	44843354	circ02664	0	0	0	0	0	0	0	0
chr14	-	10	SW480	CIRCexplorer3	chr14:67761365-67762819	chr14:67761365-67762819/-	67761365	67762819	circ02665	1	1	8	8	0	0	0	0
chr12	-	11	NCI-H23	CIRCexplorer3	chr12:132747831-132755133	chr12:132747831-132755133/-	132747831	132755133	circ02666	1	1	20	20	0	0	0	0
chr1	-	6	NCI-H23	CIRCexplorer3	chr1:155925631-155927156	chr1:155925631-155927156/-	155925631	155927156	circ02667	1	1	20	20	0	0	0	0
chr7	+	7	HLF	CIRCexplorer3	chr7:156966269-156967092	chr7:156966269-156967092/+	156966269	156967092	circ02668	1	1	20	20	0	0	0	0
chr10	+	17	HLF	CIRCexplorer3	chr10:68722454-68773099	chr10:68722454-68773099/+	68722454	68773099	circ02669	1	1	20	20	0	0	0	0
chr18	+	10	SW480	CIRCexplorer3	chr18:62539680-62550460	chr18:62539680-62550460/+	62539680	62550460	circ02670	1	1	10	10	0	0	0	0
chr17	-	47	HLF	CIRCexplorer3	chr17:32711987-32780784	chr17:32711987-32780784/-	32711987	32780784	circ02671	1	1	20	20	0	0	0	0
chr4	+	8	HLF	CIRCexplorer3	chr4:173292107-173304118	chr4:173292107-173304118/+	173292107	173304118	circ02672	1	1	20	20	0	0	0	0
chr3	+	8	NCI-H23	CIRCexplorer3	chr3:111884063-111885412	chr3:111884063-111885412/+	111884063	111885412	circ02673	1	1	20	20	0	0	0	0
chr12	+	15	NCI-H23	CIRCexplorer3	chr12:27368261-27390239	chr12:27368261-27390239/+	27368261	27390239	circ02674	1	1	20	20	0	0	0	0
chr1	-	9	SW480	CIRCexplorer3	chr1:11124497-11133197	chr1:11124497-11133197/-	11124497	11133197	circ02675	1	1	18	18	0	0	0	0
chr17	+	15	SW480	CIRCexplorer3	chr17:81099927-81108509	chr17:81099927-81108509/+	81099927	81108509	circ02676	1	1	4	4	0	0	0	0
chr3	+	18	NCI-H23	CIRCexplorer3	chr3:196885150-196886694	chr3:196885150-196886694/+	196885150	196886694	circ02657	1	1	20	20	0	0	0	0
chr7	+	28	NCI-H23	CIRCexplorer3	chr7:135577795-135593192	chr7:135577795-135593192/+	135577795	135593192	circ02592	1	1	20	20	0	0	0	0
chr5	+	10	SW480	CIRCexplorer3	chr5:72887069-72889957	chr5:72887069-72889957/+	72887069	72889957	circ02677	1	1	20	20	0	0	0	0
chr2	+	13	SW480	CIRCexplorer3	chr2:171925536-171979363	chr2:171925536-171979363/+	171925536	171979363	circ02678	1	1	20	20	0	0	0	0
chr11	-	8	SW480	CIRCexplorer3	chr11:59658865-59659469	chr11:59658865-59659469/-	59658865	59659469	circ02679	1	1	20	9	11	0	0	0
chr4	-	24	HLF	CIRCexplorer3	chr4:7855465-7872080	chr4:7855465-7872080/-	7855465	7872080	circ02680	1	1	20	20	0	0	0	0
chr11	+	7	HLF	CIRCexplorer3	chr11:581491-587464	chr11:581491-587464/+	581491	587464	circ02681	1	1	14	14	0	0	0	0
chr6	-	7	HLF	CIRCexplorer3	chr6:34606554-34646798	chr6:34606554-34646798/-	34606554	34646798	circ02682	1	1	20	20	0	0	0	0
